"filename", "language", "JavaScript", "PHP", "JSON", "XML", "CSS", "Markdown", "HTML", "SQL", "YAML", "comment", "blank", "total"
"c:\xampp\htdocs\shopbanhanglaravel\database\seeders\DatabaseSeeder.php", "PHP", 0, 12, 0, 0, 0, 0, 0, 0, 0, 10, 5, 27
"c:\xampp\htdocs\shopbanhanglaravel\database\seeders\RolesTableSeeder.php", "PHP", 0, 15, 0, 0, 0, 0, 0, 0, 0, 5, 6, 26
"c:\xampp\htdocs\shopbanhanglaravel\database\seeders\UsersTableSeeder.php", "PHP", 0, 39, 0, 0, 0, 0, 0, 0, 0, 6, 8, 53
"c:\xampp\htdocs\shopbanhanglaravel\don_vi_hanh_chinh.sql", "SQL", 0, 0, 0, 0, 0, 0, 0, 11962, 0, 32, 7, 12001
"c:\xampp\htdocs\shopbanhanglaravel\index.php", "PHP", 0, 14, 0, 0, 0, 0, 0, 0, 0, 30, 12, 56
"c:\xampp\htdocs\shopbanhanglaravel\lang\en\auth.php", "PHP", 0, 6, 0, 0, 0, 0, 0, 0, 0, 10, 5, 21
"c:\xampp\htdocs\shopbanhanglaravel\lang\en\pagination.php", "PHP", 0, 5, 0, 0, 0, 0, 0, 0, 0, 10, 5, 20
"c:\xampp\htdocs\shopbanhanglaravel\lang\en\passwords.php", "PHP", 0, 8, 0, 0, 0, 0, 0, 0, 0, 10, 5, 23
"c:\xampp\htdocs\shopbanhanglaravel\lang\en\validation.php", "PHP", 0, 132, 0, 0, 0, 0, 0, 0, 0, 30, 9, 171
"c:\xampp\htdocs\shopbanhanglaravel\package.json", "JSON", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 1, 19
"c:\xampp\htdocs\shopbanhanglaravel\phpunit.xml", "XML", 0, 0, 0, 29, 0, 0, 0, 0, 0, 2, 1, 32
"c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\CHANGES.md", "Markdown", 0, 0, 0, 0, 0, 1724, 0, 0, 0, 0, 485, 2209
"c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\LICENSE.md", "Markdown", 0, 0, 0, 0, 0, 1189, 0, 0, 0, 0, 248, 1437
"c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\README.md", "Markdown", 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 15, 40
"c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\SECURITY.md", "Markdown", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 5, 11
"c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\adapters\jquery.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 10
"c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\bender-runner.config.json", "JSON", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 1, 17
"c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\build-config.js", "JavaScript", 169, 0, 0, 0, 0, 0, 0, 0, 0, 24, 2, 195
"c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\ckeditor.js", "JavaScript", 1489, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 1501
"c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\config.js", "JavaScript", 2, 0, 0, 0, 0, 0, 0, 0, 0, 7, 2, 11
"c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\contents.css", "CSS", 0, 0, 0, 0, 164, 0, 0, 0, 0, 12, 33, 209
"c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\lang\af.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 5
"c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\lang\ar.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 5
"c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\lang\az.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 5
"c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\lang\bg.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 5
"c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\lang\bn.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 5
"c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\lang\bs.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 5
"c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\lang\ca.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 5
"c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\lang\cs.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 5
"c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\lang\cy.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 5
"c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\lang\da.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 5
"c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\lang\de-ch.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 5
"c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\lang\de.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 5
"c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\lang\el.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 5
