"filename", "language", "CSS", "PHP", "Markdown", "JavaScript", "XML", "HTML", "JSON", "YAML", "SQL", "comment", "blank", "total"
"c:\xampp\htdocs\shopbanhanglaravel\public\backend\js\move-top.js", "JavaScript", 0, 0, 0, 4, 0, 0, 0, 0, 0, 1, 0, 5
"c:\xampp\htdocs\shopbanhanglaravel\public\backend\js\raphael-min.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 7, 0, 8
"c:\xampp\htdocs\shopbanhanglaravel\public\backend\js\script.js", "JavaScript", 0, 0, 0, 51, 0, 0, 0, 0, 0, 17, 27, 95
"c:\xampp\htdocs\shopbanhanglaravel\public\backend\js\scripts.js", "JavaScript", 0, 0, 0, 211, 0, 0, 0, 0, 0, 10, 69, 290
"c:\xampp\htdocs\shopbanhanglaravel\public\frontend\css\animate.css", "CSS", 2795, 0, 0, 0, 0, 0, 0, 0, 0, 19, 450, 3264
"c:\xampp\htdocs\shopbanhanglaravel\public\frontend\css\bootstrap.min.css", "CSS", 1, 0, 0, 0, 0, 0, 0, 0, 0, 5, 1, 7
"c:\xampp\htdocs\shopbanhanglaravel\public\frontend\css\font-awesome.min.css", "CSS", 1, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 4
"c:\xampp\htdocs\shopbanhanglaravel\public\frontend\css\lightgallery.min.css", "CSS", 818, 0, 0, 0, 0, 0, 0, 0, 0, 0, 149, 967
"c:\xampp\htdocs\shopbanhanglaravel\public\frontend\css\lightslider.css", "CSS", 350, 0, 0, 0, 0, 0, 0, 0, 0, 16, 26, 392
"c:\xampp\htdocs\shopbanhanglaravel\public\frontend\css\main.css", "CSS", 1997, 0, 0, 0, 0, 0, 0, 0, 0, 40, 487, 2524
"c:\xampp\htdocs\shopbanhanglaravel\public\frontend\css\prettify.css", "CSS", 26, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 30
"c:\xampp\htdocs\shopbanhanglaravel\public\frontend\css\prettyPhoto.css", "CSS", 170, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 170
"c:\xampp\htdocs\shopbanhanglaravel\public\frontend\css\price-range.css", "CSS", 110, 0, 0, 0, 0, 0, 0, 0, 0, 8, 5, 123
"c:\xampp\htdocs\shopbanhanglaravel\public\frontend\css\responsive.css", "CSS", 401, 0, 0, 0, 0, 0, 0, 0, 0, 5, 121, 527
"c:\xampp\htdocs\shopbanhanglaravel\public\frontend\css\sweetalert.css", "CSS", 678, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 686
"c:\xampp\htdocs\shopbanhanglaravel\public\frontend\fonts\fontawesome-webfont.svg", "XML", 0, 0, 0, 0, 414, 0, 0, 0, 0, 0, 0, 414
"c:\xampp\htdocs\shopbanhanglaravel\public\frontend\fonts\glyphicons-halflings-regular.svg", "XML", 0, 0, 0, 0, 229, 0, 0, 0, 0, 0, 0, 229
"c:\xampp\htdocs\shopbanhanglaravel\public\frontend\js\bootstrap.min.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 5, 1, 7
